,0
0,0.051809
1,0.040699
2,0.040385
3,0.03999
4,0.035787
5,0.03382
6,0.03285
7,0.03231
8,0.031237
9,0.027093
10,0.025674
11,0.024833
12,0.024407
13,0.023777
14,0.023121
15,0.022563
16,0.022417
17,0.022028
18,0.021733
19,0.021418
20,0.021208
21,0.020966
22,0.020656
23,0.020442
24,0.020234
25,0.020044
26,0.019812
27,0.019435
28,0.019225
29,0.019111
30,0.018916
31,0.018707
32,0.018444
33,0.018283
34,0.01811
35,0.018069
36,0.017857
37,0.017643
38,0.017481
39,0.017374
40,0.017215
41,0.017253
42,0.017047
43,0.016743
44,0.01651
45,0.016471
46,0.016471
47,0.016241
48,0.016301
49,0.016138
